,Gene1,Gene2,Type,_merge
0,GEMIN8,JUND,,left_only
1,GEMIN8,MAZ,,left_only
2,GEMIN8,REST,,left_only
3,GEMIN8,MYC,,left_only
4,GEMIN8,CREB1,,left_only
5,GEMIN8,CEBPD,,left_only
6,GEMIN8,RFX5,,left_only
7,GEMIN8,FOSL2,,left_only
8,GEMIN8,MYBL2,,left_only
9,FLRT2,JUND,,left_only
10,FLRT2,MAZ,,left_only
11,FLRT2,MYC,,left_only
12,FLRT2,CREB1,,left_only
13,FLRT2,CEBPD,,left_only
14,FLRT2,RFX5,,left_only
15,FLRT2,FOSL2,,left_only
16,FLRT2,MYBL2,,left_only
17,FLRT2,ELF1,,left_only
18,ACOX2,JUND,,left_only
19,ACOX2,MAZ,,left_only
20,ACOX2,REST,,left_only
21,ACOX2,MYC,,left_only
22,ACOX2,CREB1,,left_only
23,ACOX2,CEBPD,,left_only
24,ACOX2,RFX5,,left_only
25,ACOX2,FOSL2,,left_only
26,ACOX2,MYBL2,,left_only
27,ACOX2,ELF1,,left_only
28,C12orf10,JUND,,left_only
29,C12orf10,MAZ,,left_only
30,C12orf10,REST,,left_only
31,C12orf10,MYC,,left_only
32,C12orf10,CREB1,,left_only
33,C12orf10,CEBPD,,left_only
34,C12orf10,RFX5,,left_only
35,C12orf10,FOSL2,,left_only
36,C12orf10,MYBL2,,left_only
37,C12orf10,ELF1,,left_only
38,GYG1,JUND,,left_only
39,GYG1,MAZ,,left_only
40,GYG1,REST,,left_only
41,GYG1,MYC,,left_only
42,GYG1,CREB1,,left_only
43,GYG1,CEBPD,,left_only
44,GYG1,RFX5,,left_only
45,GYG1,FOSL2,,left_only
46,GYG1,MYBL2,,left_only
47,GYG1,ELF1,,left_only
48,DSN1,JUND,,left_only
49,DSN1,MAZ,,left_only
50,DSN1,REST,,left_only
51,DSN1,MYC,,left_only
52,DSN1,CREB1,,left_only
53,DSN1,CEBPD,,left_only
54,DSN1,RFX5,,left_only
55,DSN1,FOSL2,,left_only
56,DSN1,MYBL2,,left_only
57,DSN1,ELF1,,left_only
58,CREB3L4,JUND,,left_only
59,CREB3L4,MAZ,,left_only
60,CREB3L4,REST,,left_only
61,CREB3L4,MYC,,left_only
62,CREB3L4,CREB1,,left_only
63,CREB3L4,CEBPD,,left_only
64,CREB3L4,RFX5,,left_only
65,CREB3L4,FOSL2,,left_only
66,CREB3L4,MYBL2,,left_only
67,EXOSC3,JUND,,left_only
68,EXOSC3,MAZ,,left_only
69,EXOSC3,REST,,left_only
70,EXOSC3,MYC,,left_only
71,EXOSC3,CREB1,,left_only
72,EXOSC3,CEBPD,,left_only
73,EXOSC3,RFX5,,left_only
74,EXOSC3,FOSL2,,left_only
75,EXOSC3,MYBL2,,left_only
76,EXOSC3,ELF1,,left_only
77,MEP1A,JUND,,left_only
78,MEP1A,MAZ,,left_only
79,MEP1A,REST,,left_only
80,MEP1A,MYC,,left_only
81,MEP1A,CREB1,,left_only
82,MEP1A,CEBPD,,left_only
