Gene1,Gene2,Type
AR,RGPD2,1
BCL11A,RGPD2,1
BCL11A,HESX1,1
BRCA1,FAM173B,1
BRCA1,ASNSD1,1
BRCA1,DCAF6,1
BRCA1,SRCAP,1
BRCA1,CDC5L,1
BRCA1,SKA3,1
BRCA1,NCAPG,1
BRCA1,ZBTB2,1
BRCA1,BTBD10,1
BRCA1,PURA,1
BRCA1,TIPIN,1
BRCA1,DNMT1,1
BRCA1,NOL11,1
BRCA1,ANKFY1,1
BRCA1,UGGT2,1
BRCA1,FAM135A,1
BRCA1,LTV1,1
BRCA1,RBPJ,1
BRCA1,RGPD2,1
BRCA1,COQ3,1
BRCA1,THADA,1
BRCA1,ZNF317,1
BRCA1,CDC20,1
BRCA1,POLR1C,1
BRCA1,NOP16,1
BRCA1,ZFC3H1,1
BRCA1,ANKRD13C,1
BRCA1,ZNF559,1
BRCA1,ASH2L,1
BRCA1,APTX,1
BRCA1,PFKFB2,1
BRCA1,ZNF136,1
BRCA1,HMBOX1,1
BRCA1,IPO11,1
BRCA1,DDX20,1
BRCA1,DDHD2,1
BRCA1,RFC3,1
BRCA1,WDR44,1
BRCA1,YY1,1
BRCA1,RMI1,1
BRCA1,TTC14,1
BRCA1,STK38L,1
BRCA1,CLP1,1
BRCA1,PLK4,1
BRCA1,ZNF614,1
BRCA1,ZNF302,1
BRCA1,AGL,1
BRCA1,PIBF1,1
BRCA1,ZNF219,1
BRCA1,PARPBP,1
BRCA1,BUB1B,1
BRCA1,ZNF721,1
BRCA1,NFATC3,1
BRCA1,USP53,1
BRCA1,KIF15,1
BRCA1,GPAM,1
BRCA1,NOC3L,1
BRCA1,ZNF582,1
BRCA1,ZNF527,1
BRCA1,MAFF,1
BRCA1,ACOX3,1
BRCA1,ZNF850,1
BRCA1,ANAPC4,1
BRCA1,EDEM3,1
BRCA1,MYSM1,1
BRCA1,MIA3,1
BRCA1,CAMK2D,1
BRCA1,TCF3,1
BRCA1,TSR1,1
BRCA1,ZNF512B,1
BRCA1,HIBCH,1
BRCA1,FBN1,1
BRCA1,PA2G4,1
BRCA1,PLOD2,1
BRCA1,ZFP30,1
BRCA1,MYNN,1
BRCA1,SAMD8,1
BRCA1,NR6A1,1
BRCA1,ANKRD13A,1
BRCA1,ADNP,1
BRCA1,PRTG,1
BRCA1,ZNF345,1
BRCA1,POLR1B,1
BRCA1,ZNF236,1
BRCA1,ZNF300,1
BRCA1,GCA,1
BRCA1,PKNOX1,1
BRCA1,E4F1,1
BRCA1,ZNF829,1
BRCA1,ACVR2A,1
BRCA1,ZBTB42,1
BRCA1,KIT,1
BRCA1,GCLC,1
BRCA1,NAP1L3,1
CEBPB,GMCL1,1
CEBPB,CDC7,1
CEBPB,PDGFRA,1
CEBPB,NFX1,1
CEBPB,C4orf46,1
CEBPB,SCLT1,1
CEBPB,HSD17B11,1
CEBPB,NUP35,1
CEBPB,E2F2,1
CEBPB,ZBTB44,1
CEBPB,ARNT,1
CEBPB,CSTF1,1
CEBPB,POLQ,1
CEBPB,E4F1,1
CEBPB,KLHL12,1
CEBPB,KLHL24,1
CEBPB,CEP70,1
CEBPB,HMG20A,1
CEBPB,ASNSD1,1
CEBPB,CLGN,1
CEBPB,COQ5,1
CEBPB,NGLY1,1
CEBPB,MRPS30,1
CEBPB,BRCA1,1
CEBPB,ZNF221,1
CEBPB,SENP7,1
CEBPB,MEIS1,1
CEBPB,TRUB1,1
CEBPB,PREPL,1
CEBPB,ACOX3,1
